# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8985		4720		3026
1		8273		9440		3081
2		7937		14160		3138
3		7572		18880		3187
4		7279		23600		3200
5		7049		28320		3190
6		6871		33040		3163
7		6631		37760		3175
8		6564		42480		3201
9		6540		47200		3229
10		6397		51920		3248
11		6214		56640		3233
12		6060		61360		3244
13		5993		66080		3219
14		5955		70800		3274
15		5876		75520		3248
16		5783		80240		3262
17		5670		84960		3277
18		5651		89680		3262
19		5599		94400		3267
20		5612		99120		3309
21		5465		103840		3280
22		5420		108560		3286
23		5369		113280		3291
24		5300		118000		3284
25		5167		122720		3289
26		5223		127440		3301
27		5178		132160		3256
28		5200		136880		3270
29		5163		141600		3264
30		5120		146320		3276
31		5076		151040		3268
32		5077		155760		3277
33		5064		160480		3269
34		4923		165200		3291
35		4886		169919		3279
36		4823		174639		3268
37		4853		179359		3274
38		4829		184079		3294
39		4805		188799		3280
40		4778		193519		3278
41		4687		198239		3292
42		4670		202959		3294
43		4643		207679		3296
44		4687		212399		3303
45		4691		217119		3307
46		4650		221839		3341
47		4686		226558		3310
48		4604		231278		3341
49		4615		235997		3327
50		4620		240716		3334
51		4618		245436		3317
52		4600		250156		3289
53		4597		254876		3302
54		4605		259596		3258
55		4612		264316		3296
56		4536		269036		3318
57		4561		273756		3305
58		4535		278476		3308
59		4586		283195		3308
60		4520		287915		3305
61		4486		292635		3290
62		4516		297355		3304
63		4527		302075		3292
64		4550		306795		3298
65		4531		311514		3309
66		4433		316234		3305
67		4454		320954		3320
68		4390		325673		3302
69		4415		330393		3269
70		4346		335113		3278
71		4346		339833		3290
72		4389		344553		3305
73		4284		349273		3298
74		4294		353993		3289
75		4346		358713		3329
76		4368		363433		3293
77		4331		368152		3304
78		4303		372872		3295
79		4282		377591		3290
80		4342		382311		3295
81		4321		387031		3300
82		4323		391751		3297
83		4259		396470		3308
84		4305		401190		3312
85		4335		405910		3290
86		4275		410630		3313
87		4339		415349		3295
88		4264		420068		3291
89		4240		424788		3270
90		4177		429508		3304
91		4267		434228		3299
92		4320		438948		3297
93		4300		443668		3282
94		4289		448388		3284
95		4274		453108		3283
96		4256		457828		3283
97		4263		462547		3289
98		4271		467267		3287
99		4233		471987		3317
100		4182		476707		3312
101		4233		481427		3301
102		4196		486147		3302
103		4179		490866		3309
104		4125		495585		3313
105		4128		500304		3291
106		4148		505024		3302
107		4129		509744		3312
108		4104		514464		3283
109		4107		519184		3299
110		4105		523904		3308
111		4173		528624		3325
112		4119		533344		3326
113		4219		538064		3349
114		4138		542784		3340
115		4141		547504		3333
116		4160		552224		3323
117		4119		556944		3315
118		4100		561664		3323
119		4075		566384		3323
120		4083		571104		3323
121		4083		575824		3314
122		4085		580544		3324
123		4104		585264		3333
124		4108		589984		3340
125		4102		594704		3310
126		4144		599424		3329
127		4099		604143		3354
128		4036		608863		3340
129		4002		613583		3337
130		3967		618303		3307
131		4052		623022		3317
132		3965		627742		3340
133		3930		632462		3324
134		3988		637182		3354
135		4028		641902		3378
136		4006		646621		3355
137		3991		651341		3359
138		4007		656061		3362
139		3954		660781		3328
